-------- SWITCH - sleep_time: 500 ----------
num_conn: 5, received_packets: 136, lost_packets: 0
num_conn: 10, received_packets: 251, lost_packets: 0
num_conn: 20, received_packets: 541, lost_packets: 0
num_conn: 40, received_packets: 801, lost_packets: 0
num_conn: 80, received_packets: 1441, lost_packets: 0
num_conn: 160, received_packets: 4321, lost_packets: 0
num_conn: 320, received_packets: 6081, lost_packets: 0
num_conn: 640, received_packets: 15361, lost_packets: 0
num_conn: 1021, received_packets: 28077, lost_packets: 0
-------- SWITCH - sleep_time: 100 ----------
num_conn: 32, received_packets: 4257, lost_packets: 0
num_conn: 64, received_packets: 8385, lost_packets: 0
num_conn: 128, received_packets: 16769, lost_packets: 0
num_conn: 256, received_packets: 35326, lost_packets: 0
num_conn: 512, received_packets: 64247, lost_packets: 0
num_conn: 1021, received_packets: 129921, lost_packets: 0
num_conn: 1021, received_packets: 126202, lost_packets: 0
num_conn: 1021, received_packets: 138401, lost_packets: 0
-------- HUB - sleep_time: 100 ----------
num_conn: 32, received_packets: 4192, lost_packets: 0
num_conn: 64, received_packets: 8641, lost_packets: 0
num_conn: 128, received_packets: 17665, lost_packets: 0
num_conn: 256, received_packets: 31998, lost_packets: 0
num_conn: 512, received_packets: 57507, lost_packets: 14282
num_conn: 1021, received_packets: 92458, lost_packets: 76238
-------- HUB - sleep_time: 500 ----------
num_conn: 32, received_packets: 897, lost_packets: 0
num_conn: 64, received_packets: 1857, lost_packets: 0
num_conn: 128, received_packets: 3201, lost_packets: 0
num_conn: 256, received_packets: 7169, lost_packets: 0
num_conn: 512, received_packets: 12115, lost_packets: 5114
num_conn: 1008, received_packets: 19384, lost_packets: 8591
num_conn: 1013, received_packets: 22415, lost_packets: 12181
